"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2011";"0000";"24,1";"25,3";"24,1";"65,0";"65,0";"63,0";"17,2";"17,8";"17,2";"936,7";"936,7";"935,9";"2,3";"152,0";"6,8";"";"0,0"
"01/01/2011";"0100";"23,1";"24,1";"23,1";"70,0";"70,0";"65,0";"17,3";"17,4";"17,2";"937,4";"937,4";"936,6";"1,8";"135,0";"6,5";"";"0,0"
"01/01/2011";"0200";"22,4";"23,1";"22,4";"72,0";"72,0";"70,0";"17,1";"17,3";"17,1";"937,8";"937,9";"937,4";"2,6";"105,0";"6,5";"";"0,0"
"01/01/2011";"0300";"21,7";"22,4";"21,7";"70,0";"72,0";"70,0";"15,9";"17,1";"15,9";"937,8";"938,0";"937,8";"2,7";"115,0";"8,4";"";"0,0"
"01/01/2011";"0400";"20,9";"21,7";"20,9";"71,0";"71,0";"69,0";"15,4";"15,9";"15,3";"937,0";"937,8";"937,0";"2,7";"113,0";"8,5";"";"0,0"
"01/01/2011";"0500";"20,4";"21,0";"20,3";"77,0";"77,0";"70,0";"16,1";"16,1";"15,4";"936,3";"937,1";"936,3";"2,3";"115,0";"8,5";"";"0,0"
"01/01/2011";"0600";"19,7";"20,4";"19,7";"80,0";"80,0";"77,0";"16,2";"16,2";"16,1";"936,0";"936,3";"936,0";"1,7";"124,0";"7,5";"";"0,0"
"01/01/2011";"0700";"19,0";"19,7";"19,0";"84,0";"84,0";"80,0";"16,3";"16,3";"16,1";"935,8";"936,0";"935,8";"1,2";"139,0";"4,7";"";"0,0"
"01/01/2011";"0800";"18,5";"19,0";"18,4";"88,0";"88,0";"84,0";"16,4";"16,4";"16,3";"936,0";"936,0";"935,8";"1,1";"132,0";"4,8";"";"0,0"
"01/01/2011";"0900";"18,3";"18,5";"18,1";"89,0";"90,0";"88,0";"16,5";"16,5";"16,3";"936,4";"936,5";"936,0";"1,1";"124,0";"3,9";"7,20";"0,0"
"01/01/2011";"1000";"19,5";"19,5";"18,3";"86,0";"89,0";"86,0";"17,2";"17,2";"16,4";"936,7";"936,7";"936,4";"1,4";"129,0";"4,7";"226,30";"0,0"
"01/01/2011";"1100";"22,6";"22,6";"19,5";"75,0";"86,0";"75,0";"18,0";"18,2";"17,2";"936,9";"936,9";"936,7";"3,3";"109,0";"9,1";"1018,50";"0,0"
"01/01/2011";"1200";"24,6";"25,0";"22,5";"69,0";"76,0";"67,0";"18,5";"18,8";"17,9";"937,2";"937,2";"936,8";"2,5";"113,0";"7,7";"2132,80";"0,0"
"01/01/2011";"1300";"26,0";"26,4";"24,5";"64,0";"70,0";"62,0";"18,7";"19,3";"18,2";"937,1";"937,3";"937,1";"2,8";"109,0";"6,9";"2743,10";"0,0"
"01/01/2011";"1400";"26,4";"26,5";"25,9";"63,0";"67,0";"62,0";"18,7";"19,3";"18,3";"936,9";"937,2";"936,9";"1,8";"110,0";"6,7";"2029,50";"0,0"
"01/01/2011";"1500";"27,8";"28,6";"26,4";"56,0";"64,0";"55,0";"18,1";"19,5";"18,1";"936,4";"936,9";"936,4";"2,4";"98,0";"6,8";"3164,50";"0,0"
"01/01/2011";"1600";"28,7";"28,8";"27,5";"57,0";"60,0";"55,0";"19,4";"19,6";"18,3";"936,0";"936,4";"936,0";"2,1";"147,0";"5,2";"2254,10";"0,0"
"01/01/2011";"1700";"28,4";"28,8";"28,0";"58,0";"61,0";"55,0";"19,4";"19,8";"18,6";"935,3";"936,0";"935,3";"1,4";"149,0";"5,2";"1925,70";"0,0"
"01/01/2011";"1800";"28,3";"28,6";"28,1";"57,0";"60,0";"55,0";"19,1";"19,7";"18,7";"934,5";"935,3";"934,5";"1,6";"127,0";"4,8";"1768,90";"0,0"
"01/01/2011";"1900";"28,2";"28,8";"27,9";"61,0";"61,0";"55,0";"19,9";"20,1";"18,7";"933,7";"934,5";"933,7";"1,4";"149,0";"4,3";"1572,30";"0,0"
"01/01/2011";"2000";"28,6";"28,6";"27,6";"57,0";"61,0";"55,0";"19,2";"19,9";"18,8";"933,4";"933,8";"933,4";"1,6";"141,0";"5,8";"1284,90";"0,0"
"01/01/2011";"2100";"27,2";"28,7";"27,2";"61,0";"61,0";"56,0";"19,1";"19,6";"18,9";"933,4";"933,5";"933,3";"1,4";"112,0";"4,9";"400,70";"0,0"
"01/01/2011";"2200";"25,5";"27,2";"25,5";"72,0";"72,0";"61,0";"20,1";"20,1";"19,0";"934,0";"934,0";"933,3";"0,5";"121,0";"3,4";"158,10";"0,0"
"01/01/2011";"2300";"24,8";"25,5";"24,8";"75,0";"75,0";"72,0";"20,1";"20,1";"19,9";"934,7";"934,7";"934,0";"1,8";"137,0";"4,8";"";"0,0"
"02/01/2011";"0000";"23,2";"24,8";"23,2";"79,0";"79,0";"75,0";"19,3";"20,1";"19,3";"935,2";"935,2";"934,7";"1,4";"136,0";"6,6";"";"0,0"
"02/01/2011";"0100";"22,5";"23,2";"22,5";"80,0";"80,0";"79,0";"18,9";"19,3";"18,9";"936,1";"936,1";"935,2";"0,8";"133,0";"5,2";"";"0,0"
"02/01/2011";"0200";"21,9";"22,5";"21,9";"82,0";"83,0";"80,0";"18,7";"18,9";"18,7";"936,1";"936,3";"936,1";"1,2";"122,0";"5,8";"";"0,0"
"02/01/2011";"0300";"21,5";"22,0";"21,5";"83,0";"83,0";"81,0";"18,6";"18,7";"18,5";"935,6";"936,1";"935,6";"1,8";"119,0";"5,8";"";"0,0"
"02/01/2011";"0400";"21,3";"21,5";"21,3";"84,0";"84,0";"83,0";"18,4";"18,6";"18,3";"935,5";"935,6";"935,5";"2,2";"101,0";"6,9";"";"0,0"
"02/01/2011";"0500";"20,8";"21,3";"20,8";"85,0";"85,0";"84,0";"18,2";"18,4";"18,2";"935,3";"935,6";"935,2";"1,5";"120,0";"6,7";"";"0,0"
"02/01/2011";"0600";"20,5";"20,8";"20,5";"86,0";"86,0";"85,0";"18,1";"18,2";"18,1";"935,0";"935,3";"935,0";"1,9";"108,0";"5,1";"";"0,0"
"02/01/2011";"0700";"20,5";"20,7";"20,5";"86,0";"86,0";"85,0";"18,0";"18,1";"18,0";"934,9";"935,1";"934,9";"1,8";"117,0";"6,5";"";"0,0"
"02/01/2011";"0800";"20,5";"20,6";"20,5";"86,0";"86,0";"85,0";"18,0";"18,1";"17,9";"935,2";"935,3";"934,9";"1,1";"147,0";"6,5";"";"0,0"
"02/01/2011";"0900";"20,6";"20,6";"20,4";"85,0";"86,0";"85,0";"18,0";"18,0";"17,9";"935,3";"935,3";"935,1";"1,1";"132,0";"4,7";"24,70";"0,0"
"02/01/2011";"1000";"20,9";"20,9";"20,6";"85,0";"86,0";"85,0";"18,3";"18,3";"18,0";"935,6";"935,7";"935,2";"1,4";"134,0";"4,3";"146,10";"0,0"
"02/01/2011";"1100";"21,4";"21,5";"20,9";"83,0";"85,0";"83,0";"18,4";"18,5";"18,1";"936,2";"936,2";"935,6";"1,6";"128,0";"4,9";"348,50";"0,0"
"02/01/2011";"1200";"22,1";"22,2";"21,4";"82,0";"83,0";"82,0";"19,0";"19,1";"18,4";"936,5";"936,5";"936,2";"2,2";"85,0";"5,0";"691,00";"0,0"
"02/01/2011";"1300";"23,7";"23,8";"22,0";"79,0";"84,0";"79,0";"19,8";"20,0";"18,9";"936,5";"936,7";"936,5";"2,8";"80,0";"4,9";"1186,60";"0,0"
"02/01/2011";"1400";"25,5";"26,0";"23,6";"72,0";"80,0";"69,0";"20,1";"21,0";"19,7";"935,9";"936,5";"935,9";"1,6";"65,0";"6,0";"2463,00";"0,0"
"02/01/2011";"1500";"25,4";"26,4";"25,4";"76,0";"76,0";"68,0";"20,8";"20,8";"19,8";"935,3";"936,0";"935,3";"1,8";"57,0";"4,5";"1608,70";"0,0"
"02/01/2011";"1600";"26,5";"26,6";"25,2";"71,0";"80,0";"68,0";"20,8";"21,5";"20,0";"934,8";"935,3";"934,8";"1,3";"34,0";"4,2";"1554,20";"0,0"
"02/01/2011";"1700";"27,3";"28,8";"26,5";"67,0";"71,0";"59,0";"20,5";"21,0";"19,8";"934,0";"934,8";"934,0";"1,0";"155,0";"4,2";"2548,00";"0,0"
"02/01/2011";"1800";"26,7";"27,3";"25,3";"83,0";"88,0";"65,0";"23,4";"23,8";"20,0";"932,6";"934,0";"932,6";"0,7";"127,0";"3,0";"939,70";"0,8"
"02/01/2011";"1900";"29,2";"29,5";"26,5";"58,0";"82,0";"58,0";"20,1";"22,7";"19,6";"931,7";"932,6";"931,7";"1,8";"129,0";"5,7";"2933,40";"0,0"
"02/01/2011";"2000";"24,8";"29,1";"24,8";"70,0";"75,0";"58,0";"18,9";"20,9";"18,9";"932,3";"932,3";"931,6";"3,3";"105,0";"8,8";"909,40";"0,0"
"02/01/2011";"2100";"20,3";"24,8";"20,3";"94,0";"94,0";"70,0";"19,3";"19,7";"18,9";"932,8";"932,8";"932,2";"2,3";"133,0";"7,9";"51,00";"0,8"
"02/01/2011";"2200";"20,3";"20,8";"20,1";"94,0";"94,0";"91,0";"19,3";"19,3";"19,0";"934,1";"934,3";"932,8";"0,9";"129,0";"7,0";"";"3,6"
"02/01/2011";"2300";"20,1";"20,4";"20,0";"96,0";"96,0";"94,0";"19,5";"19,7";"19,1";"935,2";"935,2";"934,1";"2,1";"115,0";"6,8";"";"6,6"
